[start] tuple=6x8 权重内存 512MB | 分钟=600 out=td6_net_latest.bin
[bench] 10 秒实测 1357.4 局/秒（单进程）→ 48866400 局/600分钟
[ckpt] 已写 td6_net_latest.bin @ games=529127
[train] games=529128 steps=67742134 | 窗口均分 1230 | 平均步 129 | 平均|δ| 35.473 | max|w| 30.0 | 512:0.0% 256:9.9% 128:54.1% 64:32.5% 32:3.5% 16:0.1% | 30.0min
[train] games=544458 steps=69718679 | 窗口均分 1225 | 平均步 129 | 平均|δ| 35.725 | max|w| 30.0 | 512:0.0% 256:9.4% 128:54.5% 64:32.7% 32:3.4% 16:0.1% | 31.0min
[train] games=564852 steps=72356980 | 窗口均分 1231 | 平均步 129 | 平均|δ| 35.877 | max|w| 30.0 | 512:0.0% 256:9.6% 128:53.8% 64:33.3% 32:3.2% 16:0.1% | 32.0min
[train] games=589980 steps=75607221 | 窗口均分 1232 | 平均步 129 | 平均|δ| 36.287 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.0% 64:32.8% 32:3.3% 16:0.1% | 33.0min
[train] games=616108 steps=78992956 | 窗口均分 1234 | 平均步 130 | 平均|δ| 36.652 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.5% 64:32.5% 32:3.2% 16:0.1% | 34.0min
[train] games=634275 steps=81352708 | 窗口均分 1239 | 平均步 130 | 平均|δ| 36.972 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.5% 64:32.6% 32:3.1% 16:0.0% | 35.0min
[train] games=643855 steps=82596359 | 窗口均分 1239 | 平均步 130 | 平均|δ| 36.897 | max|w| 30.0 | 512:0.0% 256:10.0% 128:54.2% 64:32.6% 32:3.1% 16:0.1% | 36.0min
[train] games=653517 steps=83851850 | 窗口均分 1239 | 平均步 130 | 平均|δ| 37.069 | max|w| 30.0 | 512:0.1% 256:9.7% 128:54.4% 64:32.4% 32:3.5% 16:0.0% | 37.0min
[train] games=664529 steps=85273051 | 窗口均分 1226 | 平均步 129 | 平均|δ| 37.434 | max|w| 30.0 | 512:0.0% 256:9.5% 128:53.9% 64:33.1% 32:3.5% 16:0.1% | 38.0min
[train] games=676776 steps=86862755 | 窗口均分 1238 | 平均步 130 | 平均|δ| 37.440 | max|w| 30.0 | 512:0.0% 256:10.2% 128:54.1% 64:32.3% 32:3.4% 16:0.1% | 39.0min
[train] games=690389 steps=88633426 | 窗口均分 1242 | 平均步 130 | 平均|δ| 37.507 | max|w| 30.0 | 512:0.0% 256:10.2% 128:54.1% 64:32.6% 32:3.0% 16:0.1% | 40.0min
[train] games=713046 steps=91563382 | 窗口均分 1230 | 平均步 129 | 平均|δ| 37.894 | max|w| 30.0 | 512:0.0% 256:9.7% 128:53.9% 64:33.0% 32:3.4% 16:0.1% | 41.0min
[train] games=730217 steps=93801485 | 窗口均分 1246 | 平均步 130 | 平均|δ| 38.045 | max|w| 30.0 | 512:0.1% 256:10.1% 128:54.8% 64:31.9% 32:3.0% 16:0.1% | 42.0min
[train] games=750828 steps=96482100 | 窗口均分 1242 | 平均步 130 | 平均|δ| 38.280 | max|w| 30.0 | 512:0.0% 256:10.3% 128:53.8% 64:32.5% 32:3.3% 16:0.0% | 43.0min
[train] games=778108 steps=100027126 | 窗口均分 1240 | 平均步 130 | 平均|δ| 38.453 | max|w| 30.0 | 512:0.0% 256:10.1% 128:54.2% 64:32.4% 32:3.2% 16:0.1% 8:0.0% | 44.0min
[train] games=805608 steps=103594846 | 窗口均分 1237 | 平均步 130 | 平均|δ| 38.819 | max|w| 30.0 | 512:0.0% 256:9.9% 128:54.2% 64:32.4% 32:3.4% 16:0.0% | 45.0min
[train] games=829585 steps=106707594 | 窗口均分 1237 | 平均步 130 | 平均|δ| 39.048 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.8% 64:32.1% 32:3.4% 16:0.1% | 46.0min
[train] games=840533 steps=108123551 | 窗口均分 1231 | 平均步 129 | 平均|δ| 39.444 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.2% 64:32.6% 32:3.4% 16:0.1% | 47.0min
[train] games=851424 steps=109533570 | 窗口均分 1235 | 平均步 129 | 平均|δ| 39.376 | max|w| 30.0 | 512:0.0% 256:10.2% 128:53.8% 64:32.1% 32:3.8% 16:0.1% | 48.0min
[train] games=862796 steps=111006646 | 窗口均分 1233 | 平均步 130 | 平均|δ| 39.542 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.4% 64:32.2% 32:3.6% 16:0.1% | 49.0min
[train] games=875989 steps=112714737 | 窗口均分 1233 | 平均步 129 | 平均|δ| 39.491 | max|w| 30.0 | 512:0.0% 256:10.0% 128:53.6% 64:32.9% 32:3.4% 16:0.1% | 50.0min
[train] games=892440 steps=114848200 | 窗口均分 1236 | 平均步 130 | 平均|δ| 39.554 | max|w| 30.0 | 256:9.8% 128:54.6% 64:32.4% 32:3.1% 16:0.1% | 51.0min
[train] games=909324 steps=117031681 | 窗口均分 1231 | 平均步 129 | 平均|δ| 39.928 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.0% 64:32.8% 32:3.3% 16:0.1% | 52.0min
[train] games=931367 steps=119886632 | 窗口均分 1233 | 平均步 130 | 平均|δ| 40.025 | max|w| 30.0 | 512:0.0% 256:9.5% 128:54.7% 64:32.4% 32:3.3% 16:0.1% | 53.0min
[train] games=956454 steps=123153996 | 窗口均分 1243 | 平均步 130 | 平均|δ| 40.111 | max|w| 30.0 | 512:0.0% 256:10.1% 128:54.5% 64:32.1% 32:3.2% 16:0.0% | 54.0min
[train] games=983229 steps=126615248 | 窗口均分 1230 | 平均步 129 | 平均|δ| 40.489 | max|w| 30.0 | 512:0.0% 256:9.8% 128:53.7% 64:32.8% 32:3.6% 16:0.1% 8:0.0% | 55.0min
[train] games=1001329 steps=128964748 | 窗口均分 1237 | 平均步 130 | 平均|δ| 40.407 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.7% 64:32.1% 32:3.3% 16:0.1% | 56.0min
[train] games=1011257 steps=130254224 | 窗口均分 1239 | 平均步 130 | 平均|δ| 40.500 | max|w| 30.0 | 256:9.8% 128:55.0% 64:31.9% 32:3.2% 16:0.1% | 57.0min
[train] games=1021413 steps=131567859 | 窗口均分 1231 | 平均步 129 | 平均|δ| 40.817 | max|w| 30.0 | 512:0.0% 256:9.8% 128:53.9% 64:32.6% 32:3.6% 16:0.1% | 58.0min
[train] games=1031393 steps=132860400 | 窗口均分 1232 | 平均步 130 | 平均|δ| 40.902 | max|w| 30.0 | 512:0.0% 256:9.6% 128:54.2% 64:32.7% 32:3.4% 16:0.1% | 59.0min
[snap] 已写 td6_net_ckpt_1041117.bin
[train] games=1041118 steps=134123717 | 窗口均分 1239 | 平均步 130 | 平均|δ| 40.996 | max|w| 30.0 | 512:0.0% 256:10.1% 128:54.7% 64:31.8% 32:3.3% 16:0.1% | 60.0min
[ckpt] 已写 td6_net_latest.bin @ games=1041118
[train] games=1052820 steps=135640278 | 窗口均分 1236 | 平均步 130 | 平均|δ| 40.719 | max|w| 30.0 | 512:0.0% 256:10.3% 128:53.8% 64:32.7% 32:3.1% 16:0.1% | 61.0min
[train] games=1066024 steps=137350560 | 窗口均分 1234 | 平均步 130 | 平均|δ| 41.074 | max|w| 30.0 | 256:10.1% 128:54.1% 64:32.5% 32:3.3% 16:0.0% | 62.0min
[train] games=1080438 steps=139211791 | 窗口均分 1228 | 平均步 129 | 平均|δ| 41.084 | max|w| 30.0 | 512:0.0% 256:9.6% 128:53.9% 64:33.0% 32:3.4% 16:0.1% | 63.0min
[train] games=1099052 steps=141617583 | 窗口均分 1230 | 平均步 129 | 平均|δ| 41.285 | max|w| 30.0 | 512:0.0% 256:9.6% 128:54.4% 64:32.8% 32:3.2% 16:0.1% | 64.0min
[train] games=1122338 steps=144633546 | 窗口均分 1234 | 平均步 130 | 平均|δ| 41.369 | max|w| 30.0 | 512:0.0% 256:10.0% 128:53.9% 64:32.7% 32:3.3% 16:0.1% | 65.0min
[train] games=1148952 steps=148082126 | 窗口均分 1234 | 平均步 130 | 平均|δ| 41.526 | max|w| 30.0 | 512:0.0% 256:9.6% 128:54.9% 64:32.3% 32:3.2% 16:0.1% 8:0.0% | 66.0min
[train] games=1176250 steps=151617190 | 窗口均分 1233 | 平均步 129 | 平均|δ| 41.651 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.3% 64:32.8% 32:3.1% 16:0.1% | 67.0min
[train] games=1203180 steps=155104275 | 窗口均分 1234 | 平均步 129 | 平均|δ| 41.899 | max|w| 30.0 | 512:0.0% 256:9.9% 128:54.1% 64:32.7% 32:3.2% 16:0.1% | 68.0min
[train] games=1221287 steps=157449329 | 窗口均分 1234 | 平均步 130 | 平均|δ| 41.938 | max|w| 30.0 | 512:0.0% 256:9.6% 128:54.9% 64:32.1% 32:3.2% 16:0.1% | 69.0min
[train] games=1231004 steps=158713564 | 窗口均分 1244 | 平均步 130 | 平均|δ| 42.014 | max|w| 30.0 | 512:0.0% 256:10.5% 128:54.4% 64:31.7% 32:3.4% 16:0.1% | 70.0min
[train] games=1241210 steps=160033738 | 窗口均分 1231 | 平均步 129 | 平均|δ| 42.190 | max|w| 30.0 | 512:0.0% 256:9.7% 128:53.8% 64:33.1% 32:3.2% 16:0.1% | 71.0min
[train] games=1252509 steps=161498994 | 窗口均分 1235 | 平均步 130 | 平均|δ| 42.201 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.5% 64:32.3% 32:3.3% 16:0.0% | 72.0min
